Genus_Species,Diet Breakdown Sheet Species,Synonyms,Genus_Species_Isler,Order,Suborder,Infraorder,Parvorder,Superfamily,Family,Subfamily,Species.group,High.Quality.,Subspecies,Data.quality..ok.if._.4.individuals..at.least.2m.and.2f.in.anthropoids.,Calculation.of.ECV.species.mean,Source.of.ECV,Source.of.body.mass,ECV.male.mean,ECV.female.mean,ECV.species.mean,N.ECV.male,N.ECV.female,N.ECV.species,Body.mass.male.mean,Body.mass.female.mean,Body.mass.species.mean,N.body.mass.male,N.body.mass.female,N.body.mass.species,N_Var_Total,N_Var_Male,N_Var_Female,Sp_Var_ln_ECV,M_Var_ln_ECV,F_Var_ln_ECV,Sp_Var_ln_BoM,M_Var_ln_BoM,F_Var_ln_BoM,predict.sp.ECV,predict.sp.BoM,predict.M.ECV,predict.M.BoM,predict.F.ECV,predict.F.BoM,true.sp.ECV,true.sp.BoM,true.M.ECV,true.M.BoM,true.F.ECV,true.F.BoM,H_Ni.sp,H_Ni.M,H_Ni.F,K.sp.ECV,K.sp.BoM,K.M.ECV,K.M.BoM,K.F.ECV,K.sp.BoM.1,avg_s2.sp.ECV,avg_s2.sp.BoM,avg_s2.M.ECV,avg_s2.M.BoM,avg_s2.F.ECV,avg_s2.F.BoM,var_s2.sp.ECV,var_s2.sp.BoM,var_s2.M.ECV,var_s2.M.BoM,var_s2.F.ECV,var_s2.F.BoM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,,Chlorocebus_pygerythrus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,Y,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",65.73,59.42,62.58,30,31,61,5071,3576,4324,30,30,60,60,30,30,0.003983678,0.00822911,0.007705604,0.034606238,0.055714196,0.082710755,0.00388725,0.033263027,0.007557022,0.053967046,0.007503993,0.07635409,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.807442174,0.905415104,0.38523472,0.824038239,0.635755702,0.905415104,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorocebus_sabaeus,Chlorocebus_sabaeus,Cercopithecus sabaeus ,Chlorocebus_sabaeus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",70.43,59.39,64.91,5,2,7,4924,3700,4312,5,1,6,4,3,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colobus_angolensis,Colobus_angolensis,,Colobus_angolensis,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,NA,N,NA,ok,m/f,Verheyen 1962,Smith and Jungers 1997,83.1,72.3,77.7,28,18,46,9680,7570,8625,12,11,23,4,2,2,0.004066822,0.007403151,0.008864137,0.010945155,0.007874344,0.035906277,0.003585522,0.017308055,0.00714152,0.040514214,0.007249291,0.035282196,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.17574437,0.327386501,0.021151138,0.139032911,0.05676978,0.327386501,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colobus_guereza,Colobus_guereza,,Colobus_guereza,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,NA,Y,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",79.01,69.77,74.39,19,18,37,9673,7506,8589,15,14,29,29,15,14,0.002836216,0.004777324,0.006567538,0.013143116,0.019620692,0.03295177,0.003052497,0.014453264,0.006588086,0.027644639,0.006895496,0.033512469,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.665553479,0.819588612,0.2322542,0.693325302,0.438966655,0.819588612,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colobus_polykomos,Colobus_polykomos,,Colobus_polykomos,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Colobus polykomos group,N,NA,ok,m/f,This study,Smith and Jungers 1997,77.42,70.23,73.83,14,18,32,9900,8300,9100,5,10,15,10,3,7,0.000640451,0.000254148,0.002307654,0.004926018,0.004522549,0.015181522,0.002374025,0.011217789,0.006850784,0.035711863,0.005866816,0.02370446,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.390112839,0.593531259,0.041426067,0.244124485,0.265310567,0.593531259,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colobus_satanas,Colobus_satanas,,Colobus_satanas,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,NA,N,NA,ok,m/f,Verheyen 1962,Smith and Jungers 1997,78,71.8,74.9,9,4,13,10400,7420,8910,5,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colobus_vellerosus,Colobus_vellerosus,,Colobus_vellerosus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,Colobus polykomos group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",76.41,69.73,73.07,5,5,10,8420,7220,7820,5,5,10,10,5,5,0.002267447,0.005364551,0.003705238,0.009708593,0.024273177,0.014561197,0.003008737,0.014056397,0.006994947,0.037342848,0.006483293,0.025423616,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.390112839,0.593531259,0.079556424,0.392443824,0.194033417,0.593531259,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythrocebus_patas,Erythrocebus_patas,,Erythrocebus_patas,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,Y,NA,ok,m/f,Pooled (this study and Verheyen 1962),Smith and Jungers 1997,106.59,88.86,97.73,11,12,23,12400,6500,9450,9,14,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophocebus_albigena,Lophocebus_albigena,,Lophocebus_albigena,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,Y,NA,ok,m/f,This study,Gordon 2006,97.99,89.96,93.97,11,10,21,7890,6010,6950,17,19,36,11,7,4,0.002103613,0.005937203,0.002477251,0.01558518,0.05181307,0.010527652,0.002909875,0.017423127,0.006998297,0.048751464,0.006437108,0.025257739,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.41545064,0.618678611,0.114769318,0.492104123,0.152944131,0.618678611,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophocebus_aterrimus,Lophocebus_aterrimus,"Cercopithecus aterrimus, Cercocebus albigena ssp. Aterrimus",Lophocebus_aterrimus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,N,NA,ok,m/f,This study,Smith and Jungers 1997,112.18,91,101.59,4,2,6,7840,5760,6800,6,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_arctoides,Macaca_arctoides,,Macaca_arctoides,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca fascicularis group,N,NA,ok,m/f,Bronson 1981 (fresh brain mass),"Smith and Jungers 1997, body mass of Bronson 1981 much smaller (7.5kg)",101.6,99.8,100.7,9,25,34,12200,8400,10300,7,3,10,1,0,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_fascicularis,Macaca_fascicularis,,Macaca_fascicularis,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca fascicularis group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",65.81,62.14,63.98,60,37,97,4984,3518,4251,59,33,92,92,59,33,0.005261342,0.009507863,0.011537504,0.018838219,0.036783604,0.038569271,0.005023186,0.018937614,0.008455174,0.037651958,0.010038717,0.038148994,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.866087228,0.936565868,0.556201363,0.903531758,0.658232978,0.936565868,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_fuscata,Macaca_fuscata,,Macaca_fuscata,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca mulatta group,N,NA,ok,m/f,Ikeda and Watanabe 1966,Smith and Jungers 1997,109.06,96.78,102.92,13,9,22,10970,8030,9515,10,23,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_leonina,Macaca_leonina,,Macaca_leonina,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca nemestrina group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",89.07,82.12,85.6,4,3,7,6521,4763,5642,4,3,7,7,4,3,0.001018673,0.00385737,0.000217322,0.013773813,0.031111871,0.023983379,0.00274622,0.01713403,0.006936278,0.040996436,0.006407025,0.031693281,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.298949966,0.493279841,0.06087813,0.326351528,0.107440203,0.493279841,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_mulatta,Macaca_mulatta,,Macaca_mulatta,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca mulatta group,Y,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",93.71,84.26,88.98,44,59,103,7915,5670,6793,37,46,83,16,10,6,0.007803719,0.01698166,0.014233216,0.025228508,0.073460665,0.027453369,0.005712406,0.023823784,0.008738871,0.062179972,0.008790109,0.031083112,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.515991468,0.708768088,0.162811116,0.592395942,0.231320781,0.708768088,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_nemestrina,Macaca_nemestrina,,Macaca_nemestrina,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca nemestrina group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",110.53,100.65,105.59,12,10,22,11103,6539,8821,11,9,20,20,11,9,0.003082979,0.006015539,0.006316376,0.007030733,0.013190303,0.014932629,0.003253132,0.010306622,0.0069368,0.025655568,0.006880485,0.022178141,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.574534546,0.755062464,0.177686863,0.617568276,0.325005002,0.755062464,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_nigra,Macaca_nigra,,Macaca_nigra,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca nemestrina group,N,NA,ok,m/f,Male and female: this study; species mean: Harvey and Clutton-Brock 1985,Smith and Jungers 1997,90,84.5,94.9,1,2,3,9890,5470,7680,11,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_radiata,Macaca_radiata,,Macaca_radiata,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca sinica group,N,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",80.37,69.38,74.87,6,3,9,6313,3856,5084,6,3,9,9,6,3,0.001163357,0.004512614,0.000140816,0.013378695,0.050054429,0.003460352,0.002642115,0.016436364,0.006880083,0.047692293,0.006398805,0.025349618,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.362478933,0.564832895,0.097506219,0.446726059,0.107440203,0.564832895,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macaca_sylvanus,Macaca_sylvanus,,Macaca_sylvanus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,Macaca sylvanus group,N,NA,ok,m/f,Male and female: this study; species mean: Harvey and Clutton-Brock 1985,Pastorini pers comm. 2007,87.5,97.93,93.2,1,4,5,14530,9625,12078,33,16,49,1,0,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandrillus_sphinx,Mandrillus_sphinx,,Mandrillus_sphinx,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,Y,NA,ok,m/f,This study,Setchell et al. 2001,161.12,146.63,153.88,17,7,24,34400,12800,23600,5,7,12,1,1,0,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miopithecus_ogouensis,Miopithecus_ogouensis,,Miopithecus_ogouensis,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,Y,NA,ok,m/f,This study,"Smith and Jungers 1997 (Miopithecus sp., mean of Gabon and Cameroon)",39.94,34.76,37.35,11,11,22,1940,1560,1750,8,11,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasalis_larvatus,Nasalis_larvatus,,Nasalis_larvatus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,NA,Y,NA,ok,m/f,This study,"This study, same specimens as ECV measurements",100.77,83.84,92.3,24,21,45,19392,9730,14561,20,17,37,37,20,17,0.001909632,0.004178166,0.003460361,0.012219978,0.034352196,0.014527716,0.002351737,0.013416487,0.006275001,0.037162489,0.005341037,0.019030772,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.718989846,0.853819445,0.291059358,0.75419147,0.490571736,0.853819445,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papio_anubis,Papio_anubis,,Papio_anubis,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,Y,NA,ok,m/f,This study,Gordon 2006,182.4,152.45,167.42,20,17,37,23000,13300,18150,359,414,773,19,9,10,0.00260716,0.004694266,0.005734374,0.010825469,0.022558681,0.020743197,0.002991376,0.013268991,0.006776006,0.032692895,0.006653972,0.025522402,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.561267874,0.744925781,0.147387246,0.563676346,0.351356548,0.744925781,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papio_cynocephalus,Papio_cynocephalus,,Papio_cynocephalus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,N,NA,ok,m/f,This study,Gordon 2006,170.25,156.13,163.19,16,8,24,22300,12000,17150,54,36,90,12,8,4,0.004723009,0.014922795,0.003969241,0.009976549,0.022012062,0.017894133,0.00402702,0.013721494,0.008158948,0.033171035,0.0066653,0.028215965,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.438767097,0.64089563,0.131384388,0.530602837,0.152944131,0.64089563,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papio_hamadryas,Papio_hamadryas,,Papio_hamadryas,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,N,NA,ok,m/f,This study,Gordon 2006,159.33,133,146.17,9,5,14,18000,10300,14150,63,76,139,1,0,1,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papio_ursinus,Papio_ursinus,,Papio_ursinus,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Cercopithecinae,NA,N,NA,ok,m/f,Elton et al. 2001,Smith and Jungers 1997,191,165,178,20,14,34,29800,14800,22300,28,22,50,3,3,0,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piliocolobus_badius,Piliocolobus_badius,,Piliocolobus_badius,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,NA,Y,NA,ok,m/f,This study,Smith and Jungers 1997 (P. b. badius),64.72,62.46,63.59,16,24,40,8360,8210,8285,9,30,39,12,4,8,0.00395553,0.004022683,0.011799438,0.017115153,0.021076481,0.047384133,0.003690275,0.018296595,0.006946342,0.037721371,0.008529671,0.042612865,2.01E-06,0.00020001,2.30E-06,0.001,7.00E-06,0.0010001,10.35112462,4.118399635,3.602634285,0.438767097,0.64089563,0.06087813,0.326351528,0.296421694,0.64089563,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,3.57E-06,0.000315242,1.84E-05,0.001877564,2.63E-05,0.002137126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piliocolobus_kirkii,Piliocolobus_kirkii,,Piliocolobus_kirkii,Primates,Haplorrhini,Simiiformes,Catarrhini,Cercopithecoidea,Cercopithecidae,Colobinae,NA,N,NA,ok,m/f,Verheyen 1962,Smith and Jungers 1997,59,55.5,57.25,5,8,13,5800,5460,5630,1,3,4,4,1,3,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003482901,0.02040512,0.007135867,0.04578505,0.007152099,0.03514259,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
